video_name,start_frame,end_frame,x1,y1,x2,y2,angle,waggle,origin_x,origin_y,direction_x,direction_y,waggle_run_id,waggle_start,waggle_end,waggle_start_in_window,waggle_end_in_window
001_2304_1760.mp4,318,334,612.0,1207.946667,264.58,371.08,-0.16309,1,255.0,370.62,0.986729,-0.16237,1,323,328,323,328
001_2304_1760.mp4,320,336,612.0,1207.946667,264.58,371.08,-0.16309,1,255.0,370.62,0.986729,-0.16237,1,323,328,323,328
001_2304_1760.mp4,326,342,625.7952,1208.846222,264.58,371.08,-0.16309,1,255.0,370.62,0.986729,-0.16237,1,323,328,326,328
001_2304_1760.mp4,535,551,658.512,1202.405926,283.12,372.62,0.616297,1,274.38,368.92,0.816024,0.578017,2,541,545,541,545
001_2304_1760.mp4,539,555,658.512,1202.405926,283.12,372.62,0.616297,1,274.38,368.92,0.816024,0.578017,2,541,545,541,545
001_2304_1760.mp4,543,559,669.0,1208.435556,283.12,372.62,0.616297,1,274.38,368.92,0.816024,0.578017,2,541,545,543,545
001_2304_1760.mp4,559,575,634.008,1217.463704,274.38,381.85,1.264312,1,264.17,373.54,0.301709,0.9534,3,563,570,563,570
001_2304_1760.mp4,567,583,648.0102857,1232.940529,274.38,381.85,1.264312,1,264.17,373.54,0.301709,0.9534,3,563,570,567,570
001_2304_1760.mp4,584,600,653.496,1234.020741,286.25,378.46,0.316825,1,272.29,378.62,0.95023,0.311551,4,590,594,590,594
001_2304_1760.mp4,588,604,653.496,1234.020741,286.25,378.46,0.316825,1,272.29,378.62,0.95023,0.311551,4,590,594,590,594
001_2304_1760.mp4,592,608,670.248,1233.76,286.25,378.46,0.316825,1,272.29,378.62,0.95023,0.311551,4,590,594,592,594
001_2304_1760.mp4,610,626,650.496,1242.038519,272.92,386.46,1.055247,1,271.04,381.08,0.493013,0.870022,5,616,619,616,619
001_2304_1760.mp4,614,630,650.496,1242.038519,272.92,386.46,1.055247,1,271.04,381.08,0.493013,0.870022,5,616,619,616,619
001_2304_1760.mp4,618,634,653.504,1253.728395,272.92,386.46,1.055247,1,271.04,381.08,0.493013,0.870022,5,616,619,618,619
001_2304_1760.mp4,633,649,654.504,1227.502222,280.0,376.77,0.321751,1,272.71,376.62,0.948683,0.316228,6,639,642,639,642
001_2304_1760.mp4,637,653,654.504,1227.502222,280.0,376.77,0.321751,1,272.71,376.62,0.948683,0.316228,6,639,642,639,642
001_2304_1760.mp4,641,657,666.168,1227.828148,280.0,376.77,0.321751,1,272.71,376.62,0.948683,0.316228,6,639,642,641,642
001_2304_1760.mp4,665,681,676.512,1241.028148,288.33,378.77,-0.51915,1,281.88,380.77,0.868243,-0.49614,7,672,674,672,674
001_2304_1760.mp4,671,687,676.512,1241.028148,288.33,378.77,-0.51915,1,281.88,380.77,0.868243,-0.49614,7,672,674,672,674
001_2304_1760.mp4,673,689,684.252,1237.768889,288.33,378.77,-0.51915,1,281.88,380.77,0.868243,-0.49614,7,672,674,673,674
001_2304_1760.mp4,723,739,698.496,1234.020741,293.75,384.31,0.62166,1,291.04,378.62,0.812913,0.582385,8,729,732,729,732
001_2304_1760.mp4,727,743,698.496,1234.020741,293.75,384.31,0.62166,1,291.04,378.62,0.812913,0.582385,8,729,732,729,732
001_2304_1760.mp4,731,747,702.832,1246.384198,293.75,384.31,0.62166,1,291.04,378.62,0.812913,0.582385,8,729,732,731,732
001_2304_1760.mp4,774,790,737.496,1223.982222,310.21,378.46,0.021975,1,307.29,375.54,0.999759,0.021973,9,781,782,781,782
001_2304_1760.mp4,780,796,737.496,1223.982222,310.21,378.46,0.021975,1,307.29,375.54,0.999759,0.021973,9,781,782,781,782
001_2304_1760.mp4,851,867,751.008,1223.460741,322.71,382.31,0.500441,1,312.92,375.38,0.877371,0.479812,10,857,860,857,860
